scene,method,t,feature,q,measure,x,center,width,order
static,TMTM,0,0,22.099999999999998,78,22.166666666666664,22.266666666666666,15.600000000000001,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,0,1,38.199999999999996,81,38.36666666666667,38.36666666666667,16.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,0,2,59.199999999999996,91,58.96666666666667,58.96666666666667,18.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,1,0,22.099999999999998,78,22.166666666666664,22.266666666666666,15.600000000000001,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,1,1,38.199999999999996,81,38.36666666666667,38.36666666666667,16.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,1,2,59.199999999999996,91,58.96666666666667,58.96666666666667,18.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,2,0,22.099999999999998,78,22.166666666666664,22.266666666666666,15.600000000000001,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,2,1,38.199999999999996,81,38.36666666666667,38.36666666666667,16.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,2,2,59.199999999999996,91,58.96666666666667,58.96666666666667,18.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,3,0,22.099999999999998,78,22.166666666666664,22.266666666666666,15.600000000000001,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,3,1,38.199999999999996,81,38.36666666666667,38.36666666666667,16.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,3,2,59.199999999999996,91,58.96666666666667,58.96666666666667,18.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,4,0,22.099999999999998,78,22.166666666666664,22.266666666666666,15.600000000000001,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,4,1,38.199999999999996,81,38.36666666666667,38.36666666666667,16.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,4,2,59.199999999999996,91,58.96666666666667,58.96666666666667,18.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,5,0,22.099999999999998,78,22.166666666666664,22.266666666666666,15.600000000000001,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,5,1,38.199999999999996,81,38.36666666666667,38.36666666666667,16.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,5,2,59.199999999999996,91,58.96666666666667,58.96666666666667,18.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,6,0,22.099999999999998,78,22.166666666666664,22.266666666666666,15.600000000000001,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,6,1,38.199999999999996,81,38.36666666666667,38.36666666666667,16.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,6,2,59.199999999999996,91,58.96666666666667,58.96666666666667,18.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,7,0,22.099999999999998,78,22.166666666666664,22.266666666666666,15.600000000000001,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,7,1,38.199999999999996,81,38.36666666666667,38.36666666666667,16.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,7,2,59.199999999999996,91,58.96666666666667,58.96666666666667,18.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,8,0,22.099999999999998,78,22.166666666666664,22.266666666666666,15.600000000000001,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,8,1,38.199999999999996,81,38.36666666666667,38.36666666666667,16.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,8,2,59.199999999999996,91,58.96666666666667,58.96666666666667,18.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,9,0,22.099999999999998,78,22.166666666666664,22.266666666666666,15.600000000000001,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,9,1,38.199999999999996,81,38.36666666666667,38.36666666666667,16.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,9,2,59.199999999999996,91,58.96666666666667,58.96666666666667,18.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,10,0,22.099999999999998,78,22.166666666666664,22.266666666666666,15.600000000000001,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,10,1,38.199999999999996,81,38.36666666666667,38.36666666666667,16.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,10,2,59.199999999999996,91,58.96666666666667,58.96666666666667,18.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,11,0,22.099999999999998,78,22.166666666666664,22.266666666666666,15.600000000000001,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,11,1,38.199999999999996,81,38.36666666666667,38.36666666666667,16.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,11,2,59.199999999999996,91,58.96666666666667,58.96666666666667,18.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,12,0,22.099999999999998,78,22.166666666666664,22.266666666666666,15.600000000000001,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,12,1,38.199999999999996,81,38.36666666666667,38.36666666666667,16.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,TMTM,12,2,59.199999999999996,91,58.96666666666667,58.96666666666667,18.2,"(np.int64(0), np.int64(1), np.int64(2))"
static,ST-MTM,0,0,22.099999999999998,78,22.100000000000005,22.100000000000005,4.68,"(0, 1, 2)"
static,ST-MTM,0,1,38.199999999999996,81,38.2,38.2,4.859999999999999,"(0, 1, 2)"
static,ST-MTM,0,2,59.199999999999996,91,59.2,59.2,5.459999999999994,"(0, 1, 2)"
static,ST-MTM,1,0,22.099999999999998,78,22.100000000000005,22.100000000000005,4.68,"(0, 1, 2)"
static,ST-MTM,1,1,38.199999999999996,81,38.2,38.2,4.859999999999999,"(0, 1, 2)"
static,ST-MTM,1,2,59.199999999999996,91,59.2,59.2,5.459999999999994,"(0, 1, 2)"
static,ST-MTM,2,0,22.099999999999998,78,22.100000000000005,22.100000000000005,4.68,"(0, 1, 2)"
static,ST-MTM,2,1,38.199999999999996,81,38.2,38.2,4.859999999999999,"(0, 1, 2)"
static,ST-MTM,2,2,59.199999999999996,91,59.2,59.2,5.459999999999994,"(0, 1, 2)"
static,ST-MTM,3,0,22.099999999999998,78,22.100000000000005,22.100000000000005,4.68,"(0, 1, 2)"
static,ST-MTM,3,1,38.199999999999996,81,38.2,38.2,4.859999999999999,"(0, 1, 2)"
static,ST-MTM,3,2,59.199999999999996,91,59.2,59.2,5.459999999999994,"(0, 1, 2)"
static,ST-MTM,4,0,22.099999999999998,78,22.100000000000005,22.100000000000005,4.68,"(0, 1, 2)"
static,ST-MTM,4,1,38.199999999999996,81,38.2,38.2,4.859999999999999,"(0, 1, 2)"
static,ST-MTM,4,2,59.199999999999996,91,59.2,59.2,5.459999999999994,"(0, 1, 2)"
static,ST-MTM,5,0,22.099999999999998,78,22.100000000000005,22.100000000000005,4.68,"(0, 1, 2)"
static,ST-MTM,5,1,38.199999999999996,81,38.2,38.2,4.859999999999999,"(0, 1, 2)"
static,ST-MTM,5,2,59.199999999999996,91,59.2,59.2,5.459999999999994,"(0, 1, 2)"
static,ST-MTM,6,0,22.099999999999998,78,22.100000000000005,22.100000000000005,4.68,"(0, 1, 2)"
static,ST-MTM,6,1,38.199999999999996,81,38.2,38.2,4.859999999999999,"(0, 1, 2)"
static,ST-MTM,6,2,59.199999999999996,91,59.2,59.2,5.459999999999994,"(0, 1, 2)"
static,ST-MTM,7,0,22.099999999999998,78,22.100000000000005,22.100000000000005,4.68,"(0, 1, 2)"
static,ST-MTM,7,1,38.199999999999996,81,38.2,38.2,4.859999999999999,"(0, 1, 2)"
static,ST-MTM,7,2,59.199999999999996,91,59.2,59.2,5.459999999999994,"(0, 1, 2)"
static,ST-MTM,8,0,22.099999999999998,78,22.100000000000005,22.100000000000005,4.68,"(0, 1, 2)"
static,ST-MTM,8,1,38.199999999999996,81,38.2,38.2,4.859999999999999,"(0, 1, 2)"
static,ST-MTM,8,2,59.199999999999996,91,59.2,59.2,5.459999999999994,"(0, 1, 2)"
static,ST-MTM,9,0,22.099999999999998,78,22.100000000000005,22.100000000000005,4.68,"(0, 1, 2)"
static,ST-MTM,9,1,38.199999999999996,81,38.2,38.2,4.859999999999999,"(0, 1, 2)"
static,ST-MTM,9,2,59.199999999999996,91,59.2,59.2,5.459999999999994,"(0, 1, 2)"
static,ST-MTM,10,0,22.099999999999998,78,22.100000000000005,22.100000000000005,4.68,"(0, 1, 2)"
static,ST-MTM,10,1,38.199999999999996,81,38.2,38.2,4.859999999999999,"(0, 1, 2)"
static,ST-MTM,10,2,59.199999999999996,91,59.2,59.2,5.459999999999994,"(0, 1, 2)"
static,ST-MTM,11,0,22.099999999999998,78,22.100000000000005,22.100000000000005,4.68,"(0, 1, 2)"
static,ST-MTM,11,1,38.199999999999996,81,38.2,38.2,4.859999999999999,"(0, 1, 2)"
static,ST-MTM,11,2,59.199999999999996,91,59.2,59.2,5.459999999999994,"(0, 1, 2)"
static,ST-MTM,12,0,22.099999999999998,78,22.100000000000005,22.100000000000005,4.68,"(0, 1, 2)"
static,ST-MTM,12,1,38.199999999999996,81,38.2,38.2,4.859999999999999,"(0, 1, 2)"
static,ST-MTM,12,2,59.199999999999996,91,59.2,59.2,5.459999999999994,"(0, 1, 2)"
static,RA-MTM,0,0,22.099999999999998,78,22.100000502772332,22.100001419713454,4.68,"(0, 1, 2)"
static,RA-MTM,0,1,38.199999999999996,81,38.20000468446466,38.20029384320001,4.859999999999999,"(0, 1, 2)"
